Country,GDP,NG_Gas_Consumption,HDD,dependency_percent,population,SOV_A3
Albania,13752.8,2679.55,0,0,0,ALB
Austria,397518.5,357663.033,3279.5,71.623,8858775,AUT
Belgium,478160.7,706902.254,2532.36,77.592,11455519,BEL
Bosnia and Herzegovina,18046.4,8745,0,0,0,BIH
Bulgaria,61558,113593.4,2152.56,38.104,7000039,BGR
Croatia,55571.4,111925.689,2076.47,56.216,4076246,HRV
Cyprus,23009.9,0,693.06,92.792,875899,CYP
Czechia,225568.7,332999.018,2998.07,40.822,10649800,CZE
Denmark,310475.6,128334.542,3026.8,38.698,5806081,DN1
Estonia,27732.3,17695,3883.05,4.838,1324820,EST
Finland,239852,99358,5482.97,42.112,5517919,FI1
France,2437635,1750924.371,2246.95,47.556,67012883,FR1
Germany (until 1990 former territory of the FRG),3473350,3517861.462,2800.81,67.055,83019213,DEU
Greece,183250.4,208840.018,1448.99,74.109,10724599,GRC
Hungary,146113.2,393984,2381.22,69.712,9772756,HUN
Iceland,22166.8,0,0,16.106,356991,ISL
Ireland,356526.3,212135.924,2706.58,68.7,4904240,IRL
Italy,1796633.8,2837253.567,1813.91,77.484,60359546,ITA
Kosovo (under United Nations Security Council Resolution 1244/99),7056.2,0,0,0,0,KOS
Latvia,30647.2,51326.68,3622.92,43.913,1919968,LVA
Liechtenstein,5742,998,0,0,38378,LIE
Lithuania,48859.9,86732,3391.36,75.202,2794184,LTU
Luxembourg,62704.2,31975.599,2753.6,95.044,613894,LUX
Malta,14042.2,14244.63,515.23,97.278,493559,MLT
Montenegro,4950.7,0,0,0,0,MNE
Netherlands,813055,1497346.33,2514.41,64.304,17282163,NL1
North Macedonia,11262,11357,0,0,0,MKD
Norway,361734.6,231727.38,0,0,5328212,NOR
Poland,533599.9,754922.346,2951.82,45.237,37972812,POL
Portugal,214374.6,245786.346,1109.07,73.86,10276617,PRT
Romania,223162.5,426689.211,2568.23,30.282,19414458,ROU
Serbia,46005.4,92725.683,0,0,0,SRB
Slovakia,94048,190089,2899.05,69.762,5450421,SVK
Slovenia,48396.7,34220.45,2600.72,52.116,2080908,SVN
Spain,1244375,1437682,1670.72,75.032,46937060,ESP
Sweden,476869.5,43851.412,5119.61,30.044,10230185,SWE
Switzerland,653732.6,0,0,0,8544527,CHE
Turkey,679132.2,1723319,0,0,0,TUR
United Kingdom,2526615.2,3126703.998,0,0,0,GB1
